CONFIG_ID,NUMBER_OF_PRODUCT_SOLD,GMII,NUMBER_OF_VISIT
80026999-C,210,0.302986078122171,432
80035397-C,755,0.026746764249919,1297
80017083-C,399,0.163153458096026,1522
80042268-C,43,0.25811906822888603,189
80035674-C,233,0.163668202208478,1993
50002372,218,0.208920177144606,365
80046202-C,29,0.184172661870504,104
80016287-C,101,0.198356573484736,256
80033313-C,16,-0.009995160199903,193
80036075-C,217,0.244901208363971,1295
80032977-C,82,0.35549222188738505,96
80022684-C,1876,0.033210110222051004,4455
30103034,12427,0.129301527243991,11895
30104166,672,0.148193728572379,1166
80038476-C,17,0.8784876897251841,99
80017372-C,49,0.119629360140561,136
80004657-C,462,0.24362802725229998,962
80006252-C,396,0.10360451185759101,883
80033216-C,9073,0.171596786691658,23438
80025342-C,470,0.073296651596836,1252
30120037,348,0.164436242552752,578
80024759-C,505,0.192614481224641,1986
80023132-C,220,0.21250026099205102,685
80036818-C,332,0.115197551410132,863
80036733-C,3582,0.183369947776739,7389
80038682-C,631,0.08313002186028301,768
80022575-C,79,0.097166320267934,157
80012401-C,107,0.15653816045489902,212
80013112-C,2488,0.09766672877532902,3439
80040081-C,48,-0.08101911908746699,161
80036539-C,1322,0.141411176601022,1775
